make,model,part,total_paid
PEUGEOT,BOXER,Alternator,348.78
PEUGEOT,208,Electrical ,347.70
PEUGEOT,PARTNER,Water Pump,347.53
PEUGEOT,207,Starter Motor,344.70
PEUGEOT,208,Catalyst (Exhaust),344.59
PEUGEOT,207,Alternator,340.70
PEUGEOT,207,Abs (Various Faults),336.16
PEUGEOT,207,Engine (Various Faults),334.00
PEUGEOT,308,Engine (Various Faults),334.00
PEUGEOT,5008,Fuel System,331.25
PEUGEOT,5008,Fuel Injectors,328.80
PEUGEOT,108,Air Con (Various Faults),328.78
PEUGEOT,RCZ,Camshaft Dephaser Pulley,326.28
PEUGEOT,207,Alternator,325.46
PEUGEOT,207,Fuel Injectors,323.20
PEUGEOT,107,Clutch (Various Faults),322.88
PEUGEOT,207,Thermostat,318.32
PEUGEOT,RCZ,Engine (Various Faults),310.76
PEUGEOT,2008,Shock Absorber,310.75
PEUGEOT,308,Thermostat,307.76
PEUGEOT,308,Engine (Various Faults),307.70
PEUGEOT,3008,Steering Rack,306.34
PEUGEOT,108,Oxygen (Lambda) Sensor,303.12
PEUGEOT,2008,Fuel System,303.00
PEUGEOT,2008,Shock Absorber,302.06
PEUGEOT,308,Fuel Injectors,300.00
PEUGEOT,308,Fuel Injectors,300.00
PEUGEOT,207,E.G.R Valve,300.00
PEUGEOT,308,Engine (Various Faults),300.00
PEUGEOT,207,Engine Oil Pump,300.00
PEUGEOT,107,Gearbox (Various Faults),300.00
PEUGEOT,207,Engine (Various Faults),300.00
PEUGEOT,208,Engine (Various Faults),300.00
PEUGEOT,3008,Gearbox (Various Faults),300.00
PEUGEOT,307,Electrical ,300.00
PEUGEOT,3008,Clutch (Various Faults),300.00
PEUGEOT,308,Water Pump,293.33
PEUGEOT,207,E.G.R Valve,289.00
PEUGEOT,3008,Alternator,281.57
PEUGEOT,207,Alternator,280.24
PEUGEOT,5008,Air Con (Various Faults),280.09
PEUGEOT,107,Clutch (Various Faults),276.65
PEUGEOT,3008,Engine (Various Faults),275.28
PEUGEOT,BIPPER,Wiper Linkage,274.74
PEUGEOT,207,Water Pump,274.61
PEUGEOT,5008,Engine (Various Faults),274.20
PEUGEOT,308,Clutch (Various Faults),274.17
PEUGEOT,BIPPER,Steering Rack,273.04
PEUGEOT,207,Alternator,273.00
PEUGEOT,207,Fuel System,273.00
PEUGEOT,207,Oil Leaks,271.56
PEUGEOT,308,E.G.R Valve,268.89
PEUGEOT,107,Heater Fan Motor,267.79
PEUGEOT,3008,Belts/ Aux Belts,264.52
PEUGEOT,308,Alternator,263.78
PEUGEOT,3008,Drive Shaft,262.57
PEUGEOT,107,Alternator,262.50
PEUGEOT,207,Engine (Various Faults),261.24
PEUGEOT,208,Clutch (Various Faults),260.90
PEUGEOT,BIPPER,Wheel Bearing,258.39
PEUGEOT,308,Fuel System,257.50
PEUGEOT,308,Ecu (Other),255.66
PEUGEOT,107,Heater Fan Motor,249.58
PEUGEOT,308,Thermostat,248.69
PEUGEOT,2008,Spring (Suspension),247.50
PEUGEOT,3008,Parking Sensor,244.36
PEUGEOT,5008,Sensors,242.82
PEUGEOT,208,Fuel System,241.00
PEUGEOT,308,Air Con (Various Faults),240.80
PEUGEOT,3008,Fuel Injectors,240.00
PEUGEOT,308,Thermostat Housing,239.55
PEUGEOT,2008,Water Pump,237.94
PEUGEOT,308,Clutch (Various Faults),237.49
PEUGEOT,3008,Fuel System,235.00
PEUGEOT,307,Clutch (Various Faults),233.60
PEUGEOT,PARTNER,Clutch (Various Faults),232.92
PEUGEOT,107,Alternator,232.20
PEUGEOT,2008,Shock Absorber,228.44
PEUGEOT,3008,Clutch (Various Faults),227.95
PEUGEOT,RCZ,Sensors,227.94
PEUGEOT,207,E.G.R Valve,225.64
PEUGEOT,208,Camshaft Sensor,225.11
PEUGEOT,3008,Timing Chain,225.00
PEUGEOT,PARTNER,Clutch (Various Faults),225.00
PEUGEOT,207,Clutch (Various Faults),223.80
PEUGEOT,307,Electrical ,222.00
PEUGEOT,207,Spring (Suspension),220.14
PEUGEOT,308,Ecu (Other),218.86
PEUGEOT,3008,Water Pump,218.00
PEUGEOT,308,Air Con (Various Faults),217.74
PEUGEOT,308,Heater Matrix,217.14
PEUGEOT,407,Suspension (Various Faults),214.88
PEUGEOT,308,Thermostat,212.56
PEUGEOT,3008,E.G.R Valve,211.92
PEUGEOT,208,Water Pump,207.00
PEUGEOT,208,Starter Motor,202.98
PEUGEOT,508,Electrical ,201.18
PEUGEOT,3008,Ignition Coil,200.91
PEUGEOT,207,Spring (Suspension),200.00
PEUGEOT,PARTNER,Steering Pump,200.00
PEUGEOT,308,Fuel Injection Pump,200.00
PEUGEOT,207,Engine (Various Faults),200.00
PEUGEOT,208,Engine (Various Faults),200.00
PEUGEOT,PARTNER,Electrical ,200.00
PEUGEOT,3008,Wheel Bearing,198.00
PEUGEOT,207,Thermostat,197.47
PEUGEOT,107,Electrical ,197.00
PEUGEOT,PARTNER,,195.50
PEUGEOT,208,Oxygen (Lambda) Sensor,194.40
PEUGEOT,3008,Fuel System (Various Faults),194.00
PEUGEOT,208,Vanos Unit,193.48
PEUGEOT,308,Thermostat Housing,193.32
PEUGEOT,207,Camshaft ,193.10
PEUGEOT,207,Engine (Various Faults),191.16
PEUGEOT,BIPPER,Central Door Locking,190.75
PEUGEOT,2008,Shock Absorber,189.40
PEUGEOT,208,Engine (Various Faults),188.75
PEUGEOT,PARTNER,Drive Shaft,188.54
PEUGEOT,407,Central Door Locking,187.64
PEUGEOT,3008,Fuel System,184.00
