make,model,part,total_paid
SEAT,LEON,,146.42
SEAT,IBIZA,Starter Motor,142.90
SEAT,LEON,Engine (Various Faults),142.48
SEAT,ALHAMBRA,Wheel Bearing,140.59
SEAT,IBIZA,Ignition Coil,137.16
SEAT,IBIZA,Suspension (Various Faults),130.00
SEAT,IBIZA,Water Pump,128.14
SEAT,IBIZA,Spring (Suspension),127.68
SEAT,ALTEA,Shock Absorber,122.98
SEAT,LEON,Wheel Bearing,121.81
SEAT,EXEO,Electrical ,121.24
SEAT,LEON,Electrical ,117.73
SEAT,IBIZA,Wheel Bearing,117.64
SEAT,LEON,Electrical ,116.51
SEAT,LEON,Window Switch,114.00
SEAT,LEON CUPRA R,Electrical ,113.75
SEAT,IBIZA,Ignition Coil,105.99
SEAT,IBIZA,Dpf Filter,105.44
SEAT,LEON,Turbocharger,100.00
SEAT,IBIZA,Spring (Suspension),99.20
SEAT,LEON,Electrical,98.16
SEAT,IBIZA,Ignition Coil,96.46
SEAT,IBIZA,Ignition Coil,95.71
SEAT,LEON COPA,Clutch (Various Faults),94.50
SEAT,IBIZA,Electrical ,94.39
SEAT,LEON,Central Door Locking,93.00
SEAT,IBIZA,Electrical ,89.50
SEAT,IBIZA,Sensors,88.75
SEAT,IBIZA,,85.68
SEAT,IBIZA,,85.68
SEAT,IBIZA,,85.68
SEAT,IBIZA,Suspension (Various Faults),85.39
SEAT,IBIZA,Gearbox (Various Faults),84.00
SEAT,IBIZA,Engine (Various Faults),84.00
SEAT,EXEO,Flywheel ,84.00
SEAT,BOCANEGRA,Turbocharger,84.00
SEAT,ALHAMBRA,Catalyst (Exhaust),84.00
SEAT,EXEO,Gearbox (Various Faults),84.00
SEAT,LEON,Engine (Various Faults),84.00
SEAT,IBIZA,Turbocharger,84.00
SEAT,IBIZA,Turbocharger,84.00
SEAT,IBIZA,Ignition Coil,74.74
SEAT,LEON,Heater/Glow Plugs,74.56
SEAT,LEON,Turbocharger,74.12
SEAT,LEON,Abs (Various Faults),73.09
SEAT,IBIZA,Sensors,71.25
SEAT,IBIZA,Suspension (Various Faults),62.25
SEAT,IBIZA,Brakes (Various Faults),59.26
SEAT,IBIZA,Oxygen (Lambda) Sensor,45.00
