make,model,part,total_paid
SKODA,OCTAVIA VRS,Turbocharger,144.00
SKODA,YETI,Abs (Various Faults),142.85
SKODA,OCTAVIA,Wheel Bearing,140.12
SKODA,SUPERB,Spring (Suspension),138.82
SKODA,SUPERB,Ignition Coil,137.65
SKODA,YETI,Wiper Motor,132.97
SKODA,OCTAVIA,Wiper Motor,132.59
SKODA,OCTAVIA,Water Pump,131.35
SKODA,SUPERB,Shock Absorber,128.00
SKODA,FABIA,Camshaft Sensor,126.02
SKODA,OCTAVIA,Water Pump,124.39
SKODA,FABIA,Sensors,121.26
SKODA,FABIA,Wheel Bearing,119.92
SKODA,FABIA,Wheel Bearing,118.50
SKODA,FABIA,Ignition Coil,115.30
SKODA,YETI,Suspension (Various Faults),113.89
SKODA,SUPERB,Electrical ,102.00
SKODA,FABIA,Lambda Sensor (Emissions),100.00
SKODA,SUPERB,Heater/Glow Plugs,99.55
SKODA,FABIA,Air Flow Meter,90.74
SKODA,FABIA,Ignition Coil,90.40
SKODA,FABIA,Window Regulator,89.30
SKODA,KODIAQ,,85.68
SKODA,OCTAVIA,Cylinder Head Gasket,84.00
SKODA,FABIA,Gearbox (Various Faults),84.00
SKODA,FABIA,Engine (Various Faults),84.00
SKODA,YETI 4X4,Turbocharger,84.00
SKODA,SUPERB,Gearbox (Various Faults),84.00
SKODA,OCTAVIA VRS,Gearbox (Various Faults),84.00
SKODA,FABIA,Spring (Suspension),83.00
SKODA,CITIGO,Ignition Coil,80.24
SKODA,YETI,Suspension (Various Faults),79.00
SKODA,FABIA,Abs (Various Faults),72.44
SKODA,YETI,Heater/Glow Plugs,68.86
SKODA,YETI,Heater/Glow Plugs,56.56
SKODA,FABIA,Brakes,54.88
SKODA,FABIA,Ignition Coil,54.00
SKODA,YETI,Electrical,34.99
SKODA,OCTAVIA,Shock Absorber,26.70
