make,model,part,total_paid
RENAULT,CLIO,Wiper Motor,256.21
RENAULT,MEGANE,Fuel System,256.00
RENAULT,CLIO,Water Pump,253.61
RENAULT,MEGANE,Drive Shaft,252.60
RENAULT,MEGANE,Fuel Injectors,252.20
RENAULT,KALEOS,Engine (Various Faults),250.00
RENAULT,MODUS,Steering Rack,250.00
RENAULT,MEGANE,Drive Shaft,249.00
RENAULT,MEGANE,Air Con (Various Faults),246.50
RENAULT,CLIO RENAULT SPORT,Brakes (Various Faults),245.53
RENAULT,GRAND SCENIC,Fuel System,244.91
RENAULT,CAPTUR,Oxygen (Lambda) Sensor,242.04
RENAULT,CAPTUR,Thermostat Housing,239.97
RENAULT,MEGANE,Fuel Injectors,239.00
RENAULT,KANGOO,Central Door Locking,238.38
RENAULT,GRAND SCENIC,Sensors,236.45
RENAULT,CLIO,Fuel System,235.99
RENAULT,GRAND ESPACE,Starter Motor,234.41
RENAULT,GRAND SCENIC,Central Door Locking,234.33
RENAULT,MEGANE,Fuel System,231.00
RENAULT,MEGANE,Central Door Locking,225.09
RENAULT,MEGANE,Fuel System,222.20
RENAULT,SCENIC,Fuel System,218.97
RENAULT,CLIO,Fuel System,218.72
RENAULT,MEGANE,Starter Motor,216.84
RENAULT,CAPTUR,,214.99
RENAULT,CLIO,Electrical ,214.06
RENAULT,CLIO,Air Con (Various Faults),212.80
RENAULT,SCENIC,Central Door Locking,212.00
RENAULT,TRAFIC VAN,Instrument Cluster / Clocks,211.80
RENAULT,CLIO,Oxygen (Lambda) Sensor,211.03
RENAULT,CLIO RENAULT SPORT,Suspension (Various Faults),210.38
RENAULT,CLIO,Alternator,208.54
RENAULT,GRAND SCENIC,Sensors,203.27
RENAULT,GRAND SCENIC,Window Regulator,200.00
RENAULT,MEGANE,Brakes (Various Faults),200.00
RENAULT,MEGANE,Cylinder Head Gasket,200.00
RENAULT,MEGANE,Multimedia,200.00
RENAULT,TRAFIC VAN,Fuel Injectors,200.00
RENAULT,GRAND SCENIC,Fuel System,198.60
RENAULT,GRAND SCENIC,Fuel Injectors,198.00
RENAULT,CLIO,Spring (Suspension),191.63
RENAULT,MEGANE,Suspension (Various Faults),191.10
RENAULT,ZOE,Suspension (Various Faults),190.92
RENAULT,GRAND SCENIC,Brake Caliper/Discs,190.00
RENAULT,GRAND SCENIC,Wheel Bearing,189.68
RENAULT,CLIO,Starter Motor,188.36
RENAULT,CLIO,Spring (Suspension),186.66
RENAULT,CLIO,Spring (Suspension),186.30
RENAULT,CLIO,Electrical ,186.14
RENAULT,TWINGO,Air Con (Various Faults),185.44
RENAULT,MEGANE,Starter Motor,185.00
RENAULT,CLIO,Suspension (Various Faults),181.60
RENAULT,CLIO,Central Door Locking,180.00
RENAULT,SCENIC,Cv Joint,178.30
RENAULT,GRAND SCENIC,Suspension (Various Faults),177.76
RENAULT,CLIO,Alternator,176.08
RENAULT,TWINGO,Indicator Stalk Switch,173.60
RENAULT,MEGANE,Spring (Suspension),172.00
RENAULT,TWINGO,Heater Fan Motor,171.74
RENAULT,MASTER VAN,Electrical ,168.47
RENAULT,KADJAR,Sensors,168.42
RENAULT,SCENIC,Gearbox (Various Faults),168.00
RENAULT,MEGANE,Sensors,167.88
RENAULT,CLIO,Suspension Arm,167.00
RENAULT,CLIO,SUSPENSION ARM,167.00
RENAULT,ZOE,Electrical ,166.36
RENAULT,GRAND SCENIC,Electrical ,166.20
RENAULT,CLIO,Brakes (Various Faults),166.00
RENAULT,CLIO,ENGINE (VARIOUS FAULTS),164.94
RENAULT,CLIO,Alternator,164.06
RENAULT,GRAND SCENIC,Fuel System,164.00
RENAULT,CLIO,Suspension (Various Faults),162.97
RENAULT,TRAFIC VAN,Spring (Suspension),161.88
RENAULT,MEGANE,Fuel System,160.00
RENAULT,MEGANE,Sensors,158.08
RENAULT,ESPACE,Suspension (Various Faults),156.40
RENAULT,MEGANE,Suspension Arm,150.00
RENAULT,CLIO,Wiper Motor,148.91
RENAULT,CLIO,Suspension (Various Faults),148.80
RENAULT,TWINGO,Spring (Suspension),146.84
RENAULT,TWINGO,Fuel Injectors,144.54
RENAULT,CLIO,Suspension (Various Faults),143.00
RENAULT,CLIO,Starter Motor,142.90
RENAULT,CLIO,Alternator,141.94
RENAULT,SCENIC,Heater/Glow Plugs,140.00
RENAULT,CLIO,Ignition Coil,139.98
RENAULT,CLIO,Heater/Glow Plugs,138.96
RENAULT,CLIO,Starter Motor,136.27
RENAULT,CLIO,Electrical ,136.27
RENAULT,CLIO,Starter Motor,135.80
RENAULT,CLIO,Wiper Motor,134.74
RENAULT,CLIO RENAULT SPORT,Wiper Motor,134.74
RENAULT,SCENIC,Brakes (Various Faults),134.00
RENAULT,SCENIC,Electrical,132.00
RENAULT,GRAND SCENIC,Brakes (Various Faults),125.98
RENAULT,SCENIC,Heater Fan Motor,123.02
RENAULT,MEGANE,Suspension (Various Faults),122.94
RENAULT,CAPTUR,Drive Shaft,122.00
RENAULT,KADJAR,Washer Pump,121.72
RENAULT,TWINGO,Ignition Coil,120.97
RENAULT,GRAND ESPACE,Suspension (Various Faults),119.55
RENAULT,CLIO,Clutch (Various Faults),117.00
RENAULT,MEGANE,Wheel Bearing,115.62
RENAULT,GRAND SCENIC,Heater/Glow Plugs,114.00
RENAULT,SCENIC,Ignition Coil,113.16
RENAULT,WIND,Ignition Coil,112.29
RENAULT,MEGANE,Central Door Locking,105.45
RENAULT,MEGANE,Heater/Glow Plugs,105.15
RENAULT,MEGANE,Spring (Suspension),101.10
RENAULT,CLIO,Spring (Suspension),100.23
RENAULT,MEGANE,Sensors,100.00
RENAULT,MEGANE RENAULT SPORT,Fuel System,100.00
RENAULT,MEGANE,Oil Leaks,98.18
RENAULT,TRAFIC VAN,Air Flow Meter,92.80
RENAULT,CLIO,Starter Motor,88.24
RENAULT,TRAFIC,,85.68
RENAULT,MASTER VAN,,85.68
RENAULT,MASTER VAN,,85.68
RENAULT,KANGOO VAN,,85.68
RENAULT,TRAFIC VAN,Window Motor,85.00
RENAULT,GRAND SCENIC,Suspension (Various Faults),84.40
RENAULT,GRAND SCENIC,Gearbox (Various Faults),84.00
RENAULT,GRAND SCENIC,Clutch (Various Faults),84.00
RENAULT,MEGANE RENAULT SPORT,Gearbox (Various Faults),84.00
RENAULT,MASTER VAN,Brakes (Various Faults),84.00
RENAULT,TRAFIC VAN,Engine (Various Faults),84.00
RENAULT,CLIO RENAULT SPORT,Engine (Various Faults),84.00
RENAULT,CLIO RENAULT SPORT,Clutch (Various Faults),84.00
RENAULT,SCENIC,Engine (Various Faults),84.00
RENAULT,CLIO RENAULT SPORT,Gearbox (Various Faults),84.00
RENAULT,GRAND SCENIC,Gearbox (Various Faults),84.00
RENAULT,CLIO,Gearbox (Various Faults),84.00
RENAULT,TRAFIC VAN,Engine (Various Faults),84.00
RENAULT,CLIO,Spring (Suspension),83.75
RENAULT,CLIO,Spring (Suspension),78.24
RENAULT,TRAFIC VAN,Clutch (Various Faults),67.22
RENAULT,MASTER VAN,Brakes (Various Faults),63.14
RENAULT,SCENIC,Ignition Coil,37.72
RENAULT,GRAND SCENIC,Heater/Glow Plugs,27.99
RENAULT,CLIO,Water Ingress,25.00
