make,model,part,total_paid
BMW,X6,Sensors,915.50
BMW,M3,Steering Column,913.13
BMW,I3,Air Bag System,906.21
BMW,1 SERIES,Air Con (Various Faults),906.12
BMW,1 SERIES,Engine (Various Faults),904.65
BMW,3 SERIES,Fuel System (Various Faults),901.91
BMW,5 SERIES,Turbocharger,901.50
BMW,1 SERIES,Gearbox (Various Faults),894.00
BMW,X6,Air Con (Various Faults),893.44
BMW,M4,Brakes (Various Faults),888.04
BMW,5 SERIES,Engine (Various Faults),884.00
BMW,3 SERIES,Differential,880.80
BMW,X4,Brakes,879.20
BMW,3 SERIES,Fuel Injection Pump,872.22
BMW,3 SERIES,Steering Rack,865.00
BMW,I3,Air Bag System,863.39
BMW,X5,Electrical,862.21
BMW,1 SERIES,Fuel System,861.50
BMW,3 SERIES,Turbocharger,850.00
BMW,1 SERIES,Inlet Manifold,845.21
BMW,I3,Air Con (Various Faults),844.33
BMW,3 SERIES,Suspension (Various Faults),840.14
BMW,3 SERIES,Steering Rack,837.50
BMW,1 SERIES,Engine (Various Faults),834.00
BMW,1 SERIES,Clutch (Various Faults),829.88
BMW,7 SERIES,Oxygen (Lambda) Sensor,829.20
BMW,1 SERIES,Gearbox (Various Faults),825.00
BMW,X5,Shock Absorber,824.01
BMW,X5,Prop Shaft,821.02
BMW,1 SERIES,Electrical ,820.26
BMW,3 SERIES,Fuel System,816.02
BMW,3 SERIES,,810.46
BMW,3 SERIES,,810.46
BMW,5 SERIES,Spring (Suspension),809.41
BMW,I3,Fuel System,805.27
BMW,3 SERIES,Fuel Injectors,793.10
BMW,3 SERIES,Gearbox (Various Faults),789.00
BMW,7 SERIES,Turbocharger,785.80
BMW,1 SERIES,Engine (Various Faults),784.00
BMW,5 SERIES,Intercooler,778.60
BMW,1 SERIES,Fuel System,776.26
BMW,X3,Ecu (Other),772.73
BMW,2 SERIES,E.G.R Valve,770.77
BMW,M5,Engine (Various Faults),766.66
BMW,5 SERIES,Electrical,765.90
BMW,I3,Air Con (Various Faults),759.98
BMW,5 SERIES,Indicator Stalk Switch,756.93
BMW,M3,Air Con (Various Faults),755.00
BMW,3 SERIES,Fuel System,753.01
BMW,1 SERIES,Engine (Various Faults),750.00
BMW,1 SERIES,Engine (Various Faults),750.00
