make,model,part,total_paid
CITROEN,C4 PICASSO,Fuel Injectors,330.00
CITROEN,C4 PICASSO,Hose/Pipe,322.88
CITROEN,C4,Window Motor,320.60
CITROEN,DS3,Dpf Filter,320.40
CITROEN,BERLINGO,Starter Motor,320.36
CITROEN,DS5,Hose/Pipe ,319.74
CITROEN,DS3,Spring (Suspension),317.38
CITROEN,C3,Alternator,312.90
CITROEN,C3 PICASSO,Fuel System,310.16
CITROEN,GRAND PICASSO,E.G.R Valve,301.93
CITROEN,C1,Starter Motor,298.64
CITROEN,C5,Wheel Bearing,298.45
CITROEN,DS3,Thermostat Housing,296.58
CITROEN,XSARA PICASSO,Steering Pump,296.10
CITROEN,DISPATCH VAN,Gearbox (Various Faults),295.68
CITROEN,C1,Starter Motor,295.55
CITROEN,DS3,Cooling Fan Motor,295.47
CITROEN,C4,Fuel System,295.44
CITROEN,DS3,,292.00
CITROEN,C4 PICASSO,Fuel Injectors,291.98
CITROEN,C4,Shock Absorber,289.08
CITROEN,C4 PICASSO,Electrical ,287.50
CITROEN,DS3,Thermostat,287.00
CITROEN,DS3,Thermostat Housing,282.22
CITROEN,DS3,Fuel System,281.90
CITROEN,C3,Catalyst (Exhaust),281.00
CITROEN,GRAND PICASSO,Air Con (Various Faults),277.69
CITROEN,DISPATCH VAN,Wiper Motor,276.40
CITROEN,C3 PICASSO,Wheel Bearing,269.58
CITROEN,C4 PICASSO,E.G.R Valve,265.79
CITROEN,DS3,Fuel System,265.00
CITROEN,BERLINGO,Engine (Various Faults),264.73
CITROEN,BERLINGO,Drive Shaft,262.48
CITROEN,DS4,Air Con (Various Faults),261.89
CITROEN,DISPATCH VAN,Fuel System,261.28
CITROEN,C1,Alternator,260.09
CITROEN,C5,Air Con (Various Faults),259.24
CITROEN,BERLINGO,Engine (Various Faults),259.09
CITROEN,C5,Fuel System,257.12
CITROEN,DS3,Thermostat,256.39
CITROEN,C1,Clutch (Various Faults),255.20
CITROEN,C1,Clutch (Various Faults),252.50
CITROEN,DS3,Window Motor,251.88
CITROEN,BERLINGO,Shock Absorber,250.34
CITROEN,C5,Steering Rack,250.00
CITROEN,GRAND PICASSO,Wiring Loom,249.77
CITROEN,C3 PICASSO,Central Door Locking,245.90
CITROEN,C1,Clutch (Various Faults),245.72
CITROEN,C1,Clutch (Various Faults),245.00
CITROEN,C4 PICASSO,Brakes,244.85
CITROEN,DS3,Timing Chain,243.01
CITROEN,DS3,Thermostat,242.70
CITROEN,DS3,Thermostat Housing,240.96
CITROEN,DS3,Drive Shaft,240.19
CITROEN,C4 PICASSO,Turbocharger,240.00
CITROEN,C4,E.G.R Valve,239.72
CITROEN,C4 PICASSO,Air Flow Meter,237.05
CITROEN,C4 PICASSO,E.G.R Valve,236.77
CITROEN,DS3,Fuel Injectors,236.67
CITROEN,C3,Ecu Engine,235.85
CITROEN,C4,Alternator,235.68
CITROEN,DS3,Water Pump,229.56
CITROEN,NEMO,Alternator,227.73
CITROEN,C4,Alternator,225.42
CITROEN,C4,Shock Absorber,225.29
CITROEN,C3 PICASSO,Suspension (Various Faults),222.50
CITROEN,DS3,Wheel Bearing,221.44
CITROEN,DS3,Ignition Coil,220.00
CITROEN,C4 PICASSO,Tensioner,219.42
CITROEN,DISPATCH VAN,Central Door Locking,217.50
CITROEN,C4 PICASSO,Suspension (Various Faults),217.31
CITROEN,BERLINGO,Starter Motor,216.00
CITROEN,C3 PICASSO,Water Pump,215.25
CITROEN,NEMO,Fuel System,215.00
CITROEN,C3 PICASSO,Starter Motor,214.68
CITROEN,DS3,Alternator,213.33
CITROEN,C4 PICASSO,Engine (Various Faults),212.98
CITROEN,C3,Thermostat,211.49
CITROEN,C3 PICASSO,Clutch (Various Faults),211.16
CITROEN,C1,Clutch (Various Faults),208.33
CITROEN,GRAND PICASSO,,207.94
CITROEN,NEMO,Alternator,207.60
CITROEN,GRAND PICASSO,Electrical,206.48
CITROEN,C4 PICASSO,Fuel System (Various Faults),206.40
CITROEN,DS3,Spring (Suspension),206.37
CITROEN,RELAY VAN,Starter Motor,204.90
CITROEN,BERLINGO,Abs (Various Faults),203.96
CITROEN,C4 PICASSO,Water Pump,203.02
CITROEN,C4,Nox Sensor,202.88
CITROEN,C3 PICASSO,Central Door Locking,202.72
CITROEN,C4 PICASSO,Starter Motor,201.68
CITROEN,BERLINGO,Starter Motor,200.50
CITROEN,BERLINGO,Sensors,200.30
CITROEN,C4 PICASSO,Oil Leaks,200.00
CITROEN,DS3,Thermostat Housing,199.61
CITROEN,C3 PICASSO,Water Pump,199.44
CITROEN,DS3,Spring (Suspension),198.59
CITROEN,BERLINGO,Electrical ,195.50
CITROEN,BERLINGO,Heater Matrix,194.50
CITROEN,C4,Heater/Glow Plugs,192.75
CITROEN,C3 PICASSO,Central Door Locking,191.94
CITROEN,C3 PICASSO,Clutch (Various Faults),191.61
CITROEN,C3 PICASSO,Window Motor,189.73
CITROEN,BERLINGO,Heater Fan Motor,189.24
CITROEN,DS3,,188.63
CITROEN,C1,Electrical ,187.76
CITROEN,GRAND PICASSO,Air Flow Meter,186.86
CITROEN,DS5,Electrical ,186.02
CITROEN,DS3,Spring (Suspension),186.00
CITROEN,C4 PICASSO,Air Con (Various Faults),185.60
CITROEN,DS3,Camshaft Sensor,185.01
CITROEN,C3 PICASSO,Starter Motor,184.37
CITROEN,C4,Fuel System,183.28
CITROEN,C4,Heater Resistor,179.63
CITROEN,DS3,,179.38
CITROEN,C4 PICASSO,Ignition Coil,177.96
CITROEN,C3 PICASSO,Window Regulator,177.13
CITROEN,DS3,Ignition Coil,175.54
CITROEN,DS3,Heater Resistor,175.40
CITROEN,DS3,Electrical ,175.17
CITROEN,DS3,Sensors,173.72
CITROEN,BERLINGO,Starter Motor,172.99
CITROEN,C4 PICASSO,Air Con (Various Faults),171.07
CITROEN,DS3,Water Pump,169.18
CITROEN,DS4,Heating System,169.09
CITROEN,GRAND PICASSO,Window Motor,168.40
CITROEN,C4 PICASSO,Drive Shaft,164.40
CITROEN,C4 PICASSO,Engine (Various Faults),164.19
CITROEN,C4 PICASSO,Electrical ,163.18
CITROEN,CROSSER,Brakes (Various Faults),162.80
CITROEN,BERLINGO,,161.94
CITROEN,C4,Spring (Suspension),161.70
CITROEN,BERLINGO,Alternator,160.49
CITROEN,DS3,Suspension (Various Faults),159.21
CITROEN,DS3,Thermostat Housing,157.89
CITROEN,C5,Steering Rack,157.05
CITROEN,BERLINGO,Drive Shaft,157.00
CITROEN,BERLINGO,Starter Motor,156.63
CITROEN,C3 PICASSO,Suspension (Various Faults),156.37
CITROEN,C3 PICASSO,Thermostat,155.30
CITROEN,NEMO,Spring (Suspension),153.30
CITROEN,C5,Air Flow Meter,152.88
CITROEN,DS3,Spring (Suspension),151.99
CITROEN,C3,Wheel Bearing,151.69
CITROEN,C4,Thermostat,151.44
CITROEN,C3,Oxygen (Lambda) Sensor,151.42
CITROEN,DS3,Electrical ,151.12
CITROEN,XSARA PICASSO,Starter Motor,150.99
CITROEN,C1,Clutch (Various Faults),150.00
CITROEN,C4 PICASSO,Air Con (Various Faults),149.34
CITROEN,C3,Suspension (Various Faults),148.43
CITROEN,BERLINGO,Track Rod Ends,145.04
CITROEN,C1,,144.95
CITROEN,BERLINGO,Suspension (Various Faults),142.43
CITROEN,C3 PICASSO,Radiator,142.00
CITROEN,C4,Starter Motor,140.44
CITROEN,DS3,Water Pump,139.90
CITROEN,RELAY VAN,Headlamp/ Fog Lamp Unit,139.39
CITROEN,DS5,Sensors,139.07
CITROEN,RELAY VAN,Starter Motor,138.63
CITROEN,BERLINGO,,137.16
CITROEN,GRAND PICASSO,Suspension (Various Faults),136.52
CITROEN,C4 PICASSO,Engine (Various Faults),133.98
CITROEN,DS4,Steering Rack,133.12
CITROEN,DS3,Spring (Suspension),124.60
CITROEN,C3,Thermostat,122.58
CITROEN,DS3,Abs (Various Faults),121.62
CITROEN,C3 PICASSO,Wheel Bearing,119.57
CITROEN,C3 PICASSO,Suspension (Various Faults),114.61
CITROEN,C4,Air Con (Various Faults),114.16
CITROEN,C3 PICASSO,Wheel Bearing,113.41
CITROEN,DS3,Sensors,113.16
CITROEN,DS3,Suspension (Various Faults),112.42
CITROEN,DS3,Thermostat Housing,110.86
CITROEN,C3 PICASSO,Wiper Motor,104.99
CITROEN,DS3,Suspension (Various Faults),99.69
CITROEN,C3 PICASSO,Track Rod Ends,98.72
CITROEN,DS3,Clutch (Various Faults),98.65
CITROEN,C4,Ignition Coil,97.03
CITROEN,DS3,Suspension (Various Faults),94.08
CITROEN,DS3,Abs (Various Faults),93.68
CITROEN,DS3,Wheel Bearing,92.67
CITROEN,C3,Clutch (Various Faults),92.45
CITROEN,C3,Thermostat Housing,88.82
CITROEN,DS3,Ball Joint ,88.59
CITROEN,C3,Sensors,88.56
CITROEN,C4,Heater Matrix,88.39
CITROEN,DS3,Ignition Coil,87.52
CITROEN,C1,Ignition Coil,86.89
CITROEN,BERLINGO,Ignition Coil,85.73
CITROEN,C1,,85.68
CITROEN,C3 PICASSO,,85.68
CITROEN,GRAND PICASSO,,85.68
CITROEN,C3,,85.68
CITROEN,C4,,85.68
CITROEN,C3,,85.68
CITROEN,C3,,85.68
CITROEN,RELAY VAN,Gearbox (Various Faults),84.00
CITROEN,C4 PICASSO,Turbocharger,84.00
CITROEN,C5,Air Con (Various Faults),84.00
CITROEN,DS3,Engine (Various Faults),84.00
CITROEN,C4 PICASSO,Gearbox (Various Faults),84.00
CITROEN,C4 PICASSO,Gearbox (Various Faults),84.00
CITROEN,BERLINGO,Engine (Various Faults),84.00
CITROEN,C4 PICASSO,Engine (Various Faults),84.00
CITROEN,C4 PICASSO,Gearbox (Various Faults),84.00
CITROEN,C4 PICASSO,Flywheel ,84.00
CITROEN,GRAND PICASSO,Clutch (Various Faults),84.00
CITROEN,C4 PICASSO,Turbocharger,84.00
CITROEN,DS3,Engine (Various Faults),84.00
CITROEN,C4,Heater Matrix,83.77
CITROEN,C4,Engine (Various Faults),83.00
CITROEN,DS3,Spring (Suspension),79.54
CITROEN,C4,Spring (Suspension),77.79
CITROEN,BERLINGO,Electrical ,75.00
CITROEN,XSARA PICASSO,Suspension (Various Faults),74.11
CITROEN,NEMO,Electrical ,72.85
CITROEN,DS3,Ignition Coil,69.00
CITROEN,C1,Washer Pump,69.00
CITROEN,DS3,Cooling,67.72
CITROEN,DISPATCH VAN,Electrical ,65.65
CITROEN,C3 PICASSO,Abs (Various Faults),64.42
CITROEN,C1,Wheel Cylinder,60.88
CITROEN,DS3,Ignition Coil,60.00
CITROEN,C4,Suspension (Various Faults),59.57
CITROEN,C3 PICASSO,Clutch (Various Faults),53.16
CITROEN,C3 PICASSO,Electrical ,51.96
CITROEN,C4 PICASSO,Engine (Various Faults),50.00
CITROEN,DS3,Ignition Coil,46.22
CITROEN,DS3,Ignition Coil,46.00
CITROEN,XSARA PICASSO,Electrical ,45.84
