make,model,part,total_paid
VOLVO,C30,,85.68
VOLVO,V50,,85.68
VOLVO,V60,Air Con (Various Faults),84.00
VOLVO,V50,Flywheel ,84.00
VOLVO,S40,Gearbox (Various Faults),84.00
VOLVO,XC90,Differential,84.00
VOLVO,S40,Clutch (Various Faults),84.00
VOLVO,C30,Flywheel ,84.00
VOLVO,XC60,Engine (Various Faults),84.00
VOLVO,V40,Engine (Various Faults),84.00
VOLVO,XC70,Clutch (Various Faults),84.00
VOLVO,V50,Gearbox (Various Faults),84.00
VOLVO,V50,Engine (Various Faults),84.00
VOLVO,C70,Engine (Various Faults),84.00
VOLVO,XC90,Differential,84.00
VOLVO,V50,Spring (Suspension),79.61
VOLVO,V50,Electrical ,44.94
VOLVO,C30,Alternator,23.55
