make,model,part,total_paid
MINI,ONE,Clutch (Various Faults),400.00
MINI,COOPER,Heating System,400.00
MINI,COOPER,Cylinder Head Gasket,400.00
MINI,COOPER S,Timing Chain,400.00
MINI,COOPER,Air Flow Meter,395.70
MINI,COOPER,Brakes (Various Faults),390.54
MINI,COOPER,Steering Rack,388.51
MINI,COUNTRYMAN,Thermostat Housing,388.28
MINI,COOPER,Air Con (Various Faults),387.46
MINI,COOPER S,Thermostat Housing,385.97
MINI,COUNTRYMAN,Fuel Lift Pump,384.44
MINI,COUNTRYMAN,Brakes (Various Faults),383.28
MINI,COOPER,Electrical ,382.40
MINI,HATCHBACK,E.G.R Valve,379.03
MINI,COOPER S,Fuel System,377.15
MINI,COOPER,Air Con (Various Faults),372.50
MINI,HATCH,Electrical ,370.24
MINI,COOPER S,Fuel System,370.15
MINI,COOPER S,Fuel System,370.15
MINI,COOPER S,Water Pump,368.20
MINI,COOPER S,Clutch (Various Faults),363.81
MINI,COOPER S,Fuel System,363.50
MINI,COOPER S,Cylinder Head Gasket,362.19
MINI,COOPER,Abs (Various Faults),360.00
MINI,CLUBMAN,Window Regulator,358.42
MINI,FIRST,Alternator,358.29
MINI,COOPER S,Alternator,357.17
MINI,JOHN COOPER WORKS,Heater Fan Motor,356.78
MINI,COOPER S,Wheel Bearing,355.07
MINI,COOPER S,Turbocharger,350.00
MINI,ONE,Cylinder Head Gasket,350.00
MINI,COOPER S,Engine (Various Faults),348.10
MINI,JOHN COOPER WORKS,Thermostat,343.09
MINI,COOPER,Steering Pump,341.50
MINI,ONE,Air Con (Various Faults),341.50
MINI,COUNTRYMAN,E.G.R Valve,338.84
MINI,CLUBMAN,Sensors,334.36
MINI,COOPER,Air Con (Various Faults),331.50
MINI,HATCH,Air Con (Various Faults),331.00
MINI,COOPER S,Thermostat,330.59
MINI,COOPER S,Fuel System,330.00
MINI,COOPER,Thermostat Housing,324.84
MINI,COOPER,E.G.R Valve,323.92
MINI,ONE,Alternator,323.74
MINI,ONE,Steering Pump,320.49
MINI,ONE,Thermostat,313.20
MINI,COOPER,Radiator,313.12
MINI,COOPER,Vanos Unit,312.70
MINI,COOPER,Water Pump,310.50
MINI,COOPER S,Thermostat Housing,305.64
MINI,COOPER,Wheel Bearing,302.63
MINI,COOPER,Gearbox (Various Faults),300.00
MINI,JOHN COOPER WORKS,Turbocharger,300.00
MINI,HATCH,Water Pump,290.80
MINI,COOPER S,Thermostat,289.19
MINI,COOPER,Cruise Control (Da),288.41
MINI,COUNTRYMAN,Wheel Bearing,288.01
MINI,COOPER,Electrical ,287.36
MINI,CONVERTIBLE,Shock Absorber,286.10
MINI,ONE,Air Con (Various Faults),284.32
MINI,COOPER S,Electrical ,283.54
MINI,COOPER,Air Con (Various Faults),281.14
MINI,COOPER S,Thermostat Housing,280.00
MINI,COOPER S,,273.07
MINI,ONE,Air Con (Various Faults),271.71
MINI,COUNTRYMAN,Thermostat,270.13
MINI,COUNTRYMAN,Thermostat Housing,268.46
MINI,CLUBMAN,Water Pump,266.80
MINI,COOPER,Sensors,265.57
MINI,COUNTRYMAN,Water Pump,265.50
MINI,COOPER S,Drive Shaft,263.10
MINI,CONVERTIBLE,Thermostat,262.54
MINI,COOPER S,Clutch (Various Faults),259.99
MINI,COUNTRYMAN,Thermostat,258.34
MINI,ONE,Thermostat,255.50
MINI,COOPER,Thermostat,254.91
MINI,ONE,Oxygen (Lambda) Sensor,251.00
MINI,COOPER S,Alternator,250.48
MINI,ONE,Mot Insurance,250.00
MINI,COOPER,Multimedia,250.00
MINI,COOPER,Brakes (Various Faults),250.00
MINI,COOPER S,Fuel System,250.00
MINI,COOPER,Hose/Pipe ,250.00
MINI,COUNTRYMAN,Heater/Glow Plugs,246.60
MINI,COUNTRYMAN,Thermostat Housing,244.56
MINI,CONVERTIBLE,Ignition Coil,243.90
MINI,ONE,Starter Motor,243.14
MINI,COOPER,Fuel System,238.53
MINI,COOPER,Vanos Unit,236.00
MINI,ONE,Alternator,236.00
MINI,COUNTRYMAN,Heater Matrix,235.63
MINI,COOPER,Oxygen (Lambda) Sensor,233.04
MINI,PACEMAN,Sensors,231.96
MINI,COOPER,Electrical,230.67
MINI,COOPER S,Thermostat Housing,227.57
MINI,HATCH,Alternator,227.00
MINI,CONVERTIBLE,Sensors,226.01
MINI,COOPER,Wheel Bearing,223.63
MINI,COOPER,,223.00
MINI,COOPER,Window Motor,222.24
MINI,ONE,Sensors,219.23
MINI,COOPER S,Thermostat Housing,218.80
MINI,ONE,Thermostat Housing,217.40
MINI,COOPER,Thermostat,215.91
MINI,ONE,Thermostat Housing,215.04
MINI,COOPER S,,213.01
MINI,COOPER,Water Pump,210.17
MINI,ONE,Thermostat Housing,209.12
MINI,JOHN COOPER WORKS,Thermostat Housing,207.29
MINI,HATCHBACK,Air Con (Various Faults),205.18
MINI,COOPER S,Starter Motor,204.78
MINI,COOPER S,Engine (Various Faults),204.57
MINI,COUNTRYMAN,Window Motor,203.52
MINI,COUNTRYMAN,Wheel Bearing,203.36
MINI,COUNTRYMAN,Wheel Bearing,203.02
MINI,COUNTRYMAN,Electrical ,200.00
MINI,COOPER S,Sensors,200.00
MINI,COOPER S,Electrical ,196.20
MINI,COOPER,Thermostat,195.20
MINI,COOPER S,Thermostat Housing,194.95
MINI,CLUBMAN,Thermostat,193.32
MINI,COOPER,Brakes Discs,191.03
MINI,CLUBMAN,Heater/Glow Plugs,191.00
MINI,COOPER S,Ignition Coil,190.64
MINI,COOPER S,Ignition Coil,190.32
MINI,COOPER S,Thermostat Housing,189.91
MINI,COOPER S,Thermostat,188.82
MINI,COOPER,Sensors,188.00
MINI,COOPER,Electrical ,187.54
MINI,COOPER S,Water Pump,187.51
MINI,HATCH,Wheel Bearing,185.89
MINI,HATCH,Thermostat Housing,184.93
MINI,ONE,Cylinder Head Gasket,184.00
MINI,CLUBMAN,Thermostat,183.53
MINI,JOHN COOPER WORKS,Thermostat Housing,182.63
MINI,COOPER S,Thermostat,182.28
MINI,COUNTRYMAN,Central Door Locking,180.26
MINI,COOPER S,Cooling ,179.39
MINI,COUNTRYMAN,Thermostat,179.36
MINI,COOPER S,,178.34
MINI,D,Air Flow Meter,178.00
MINI,ONE,Thermostat,177.69
MINI,PACEMAN,Vanos Unit,177.16
MINI,CONVERTIBLE,Central Door Locking,176.55
MINI,ONE,Engine (Various Faults),176.13
MINI,ONE,Window Regulator,176.05
MINI,ONE,Vanos Unit,176.00
MINI,COOPER,Air Con (Various Faults),175.64
MINI,COUNTRYMAN,Thermostat,175.49
MINI,HATCH,Thermostat,175.13
MINI,FIRST,Thermostat Housing,174.80
MINI,COOPER S,Air Con (Various Faults),174.64
MINI,COOPER,Thermostat,170.78
MINI,HATCH,Thermostat Housing,170.28
MINI,COOPER,Electrical ,169.01
MINI,CONVERTIBLE,Oxygen (Lambda) Sensor,168.80
MINI,ONE,Thermostat Housing,168.68
MINI,COOPER,,166.68
MINI,ONE,Thermostat Housing,166.38
MINI,ONE,Water Pump,164.74
MINI,CONVERTIBLE,Water Pump,164.62
MINI,COOPER S,Air Flow Meter,164.50
MINI,COOPER,Water Pump,162.79
MINI,COUNTRYMAN,Ignition Coil,161.40
MINI,COOPER,Engine (Various Faults),160.48
MINI,COOPER,Suspension (Various Faults),160.32
MINI,COOPER S,Shock Absorber,160.01
MINI,COOPER S,Suspension (Various Faults),159.32
MINI,COOPER,Thermostat,158.63
MINI,COOPER S,Thermostat,157.74
MINI,FIRST,Vanos Unit,157.66
MINI,COOPER,Engine (Various Faults),156.93
MINI,CONVERTIBLE,Thermostat,156.55
MINI,COUNTRYMAN,Electrical ,155.70
MINI,COOPER S,Thermostat Housing,155.00
MINI,COOPER,Electrical,154.68
MINI,COOPER,Thermostat Housing,154.20
MINI,CONVERTIBLE,Engine (Various Faults),153.50
MINI,FIRST,Water Pump,152.50
MINI,COOPER,Water Pump,152.43
MINI,COOPER S,Sensors,151.21
MINI,COOPER,Spring (Suspension),151.13
MINI,CONVERTIBLE,Camshaft Sensor,151.00
MINI,CLUBMAN,E.G.R Valve,150.00
MINI,COOPER S,Brakes (Various Faults),150.00
MINI,ONE,Sensors,150.00
MINI,COOPER S,Thermostat Housing,147.89
MINI,COOPER,,146.42
MINI,ONE,Ignition Coil,146.40
MINI,COUNTRYMAN,Engine (Various Faults),144.00
MINI,CLUBMAN,Water Pump,142.64
MINI,COOPER,Water Pump,140.00
MINI,JOHN COOPER WORKS,Thermostat Housing,139.98
MINI,ONE,Air Con (Various Faults),136.20
MINI,ONE,Ignition (Various Faults),135.55
MINI,HATCHBACK,Thermostat Housing,133.75
MINI,COUNTRYMAN,Water Pump,132.81
MINI,COOPER,Water Pump,132.58
MINI,COOPER,Electrical ,131.99
MINI,COOPER S,Thermostat Housing,131.98
MINI,COOPER S,Water Pump,130.24
MINI,ONE,Water Pump,129.60
MINI,COOPER S,Thermostat,129.23
MINI,COOPER,Thermostat,128.50
MINI,COUNTRYMAN,Electrical ,127.80
MINI,JOHN COOPER WORKS,Sensors,126.50
MINI,ONE,Water Pump,122.87
MINI,CLUBMAN,,121.72
MINI,JOHN COOPER WORKS,Ignition Coil,121.52
MINI,HATCH,Air Con (Various Faults),120.70
MINI,COOPER,Cooling Fan Motor,120.00
MINI,CONVERTIBLE,Electrical ,119.54
MINI,ONE,Ignition Coil,118.79
MINI,ONE,Ignition Coil,118.79
MINI,COOPER,Pressure Sensor,118.00
MINI,COUNTRYMAN,Sensors,116.01
MINI,COOPER S,Spring (Suspension),115.27
MINI,COOPER S,Ignition Coil,114.34
MINI,COOPER,Water Pump,114.08
MINI,HATCH,Shock Absorber,113.68
MINI,COOPER,Suspension (Various Faults),113.08
MINI,COOPER,Ignition Coil,112.30
MINI,COOPER,Sensors,111.71
MINI,ONE,Fuel System,111.58
MINI,COOPER,Water Pump,108.99
MINI,COOPER,Ignition Coil,107.22
MINI,COUNTRYMAN,Water Pump,106.68
MINI,ONE,Ignition Coil,104.54
MINI,COOPER S,Engine (Various Faults),100.00
MINI,CONVERTIBLE,Ignition Coil,98.53
MINI,ONE,Suspension (Various Faults),98.07
MINI,COUNTRYMAN,Suspension (Various Faults),98.00
MINI,COUNTRYMAN,Wheel Bearing,97.69
MINI,ONE,Sensors,97.43
MINI,COOPER,Thermostat,96.45
MINI,COOPER,Electrical ,95.96
